Image Index: ,Detector Type: ,Descriptor Type: ,Matcher Type: ,Selector Type: ,Detection timetaken: ,Total No. of detected points: ,Num. of Filtered points: ,Descriptor timetaken: ,Matcher timetaken: ,No. of Matched pairs: ,No. of Matched pairs in CurrBB in front: ,TTC Camera,TTC Lidar,
0,FAST,BRIEF,MAT_BF,SEL_KNN,2.68218,5275,0,18.5001,0,0,,,,
1,FAST,BRIEF,MAT_BF,SEL_KNN,2.49358,5291,0,18.8383,425.697,3141,203,8,12,
2,FAST,BRIEF,MAT_BF,SEL_KNN,2.49809,5202,0,18.7312,426.626,3127,209,9,12,
3,FAST,BRIEF,MAT_BF,SEL_KNN,2.45717,5090,0,18.4032,410.578,3072,221,7,13,
4,FAST,BRIEF,MAT_BF,SEL_KNN,2.57508,5118,0,18.182,409.666,3029,204,14,7,
5,FAST,BRIEF,MAT_BF,SEL_KNN,2.39363,5180,0,18.2837,410.725,3102,191,11,16,
6,FAST,BRIEF,MAT_BF,SEL_KNN,2.50906,5192,0,17.7322,403.141,3103,204,7,12,
7,FAST,BRIEF,MAT_BF,SEL_KNN,2.48351,5177,0,17.6993,404.334,2985,215,14,34,
8,FAST,BRIEF,MAT_BF,SEL_KNN,2.54877,5176,0,18.2167,399.036,3021,212,7,9,
9,FAST,BRIEF,MAT_BF,SEL_KNN,2.43268,5225,0,18.3642,400.376,3055,220,10,18,
10,FAST,BRIEF,MAT_BF,SEL_KNN,2.4781,5331,0,18.8878,425.985,3003,225,9,18,
11,FAST,BRIEF,MAT_BF,SEL_KNN,2.56317,5351,0,19.3155,426.662,3075,228,10,3,
12,FAST,BRIEF,MAT_BF,SEL_KNN,2.55047,5244,0,19.1289,425.983,3088,242,529,-10,
13,FAST,BRIEF,MAT_BF,SEL_KNN,2.62848,5231,0,18.907,418.052,3093,246,14,9,
14,FAST,BRIEF,MAT_BF,SEL_KNN,2.52112,5286,0,18.4672,410.877,3065,232,8,10,
15,FAST,BRIEF,MAT_BF,SEL_KNN,2.48516,5464,0,19.58,432.789,3135,239,6,8,
16,FAST,BRIEF,MAT_BF,SEL_KNN,2.54664,5464,3,19.062,462.898,3275,235,11,3,
17,FAST,BRIEF,MAT_BF,SEL_KNN,2.49969,5563,0,18.966,442.379,3318,225,14,-9,
18,FAST,BRIEF,MAT_BF,SEL_KNN,2.46162,5497,38,19.7388,447.242,3329,226,5,8,

0,FAST,ORB,MAT_BF,SEL_KNN,2.47335,5275,0,8.78673,0,0,,,,
1,FAST,ORB,MAT_BF,SEL_KNN,2.47045,5291,0,9.03223,419.924,2897,181,4,12,
